Stock,Date,Buy/Sell
MSFT,5/15/2019,0
MSFT,5/30/2019,0
MSFT,8/6/2019,0
MSFT,9/4/2019,0
MSFT,10/3/2019,0
MSFT,2/27/2020,0
MSFT,6/3/2020,0
MSFT,7/27/2020,0
MSFT,9/14/2020,0
MSFT,10/28/2020,0
MSFT,11/30/2020,0
MSFT,12/14/2020,0
MSFT,1/12/2021,0
MSFT,8/26/2019,0
MSFT,3/13/2020,0
MSFT,9/29/2020,0
MSFT,12/15/2020,0
MSFT,8/15/2019,0
MSFT,8/22/2019,0
MSFT,9/18/2019,0
MSFT,10/9/2019,0
MSFT,3/4/2020,0
MSFT,9/15/2020,0
MSFT,10/29/2020,0
MSFT,12/15/2020,0
MSFT,3/20/2020,0
MSFT,4/24/2020,0
MSFT,11/16/2020,0
MSFT,11/18/2020,0
Silver,2/14/2019,0
Silver,3/3/2019,0
Silver,4/1/2019,0
Silver,7/9/2019,0
Silver,9/15/2019,0
Silver,10/24/2019,0
Silver,11/10/2019,0
Silver,12/5/2019,0
Silver,1/19/2020,0
Silver,3/2/2020,0
Silver,4/28/2020,0
Silver,6/11/2020,0
Silver,8/27/2020,0
Silver,9/14/2020,0
Silver,10/30/2020,0
Silver,11/25/2020,0
Silver,10/8/2019,0
Silver,2/16/2020,0
Silver,2/27/2020,0
Silver,9/28/2020,0
Silver,12/8/2020,0
Silver,10/3/2019,0
Silver,11/8/2019,0
Silver,2/12/2020,0
Silver,3/2/2020,0
Silver,4/21/2020,0
Silver,9/23/2020,0
Silver,11/21/2019,0
Silver,3/18/2020,0
Silver,11/16/2020,0
Silver,11/17/2019,0
Silver,3/13/2020,0
Silver,11/9/2020,0
Silver,3/17/2020,0
TNX,3/13/2019,0
TNX,5/3/2019,0
TNX,7/30/2019,0
TNX,10/2/2019,0
TNX,11/22/2019,0
TNX,1/8/2020,0
TNX,3/31/2020,0
TNX,6/19/2020,0
TNX,9/11/2020,0
TNX,9/22/2020,0
TNX,11/30/2020,0
TNX,9/30/2019,0
TNX,1/15/2020,0
TNX,6/29/2020,0
TNX,1/24/2020,0
TNX,7/9/2020,0
TNX,1/31/2020,0
TNX,2/20/2020,0
TSLA,2/22/2019,0
TSLA,4/15/2019,0
TSLA,8/1/2019,0
TSLA,10/3/2019,0
TSLA,12/3/2019,0
TSLA,3/3/2020,0
TSLA,8/4/2020,0
TSLA,9/14/2020,0
TSLA,10/27/2020,0
TSLA,8/15/2019,0
TSLA,3/13/2020,0
TSLA,10/29/2020,0
TSLA,11/16/2020,0
TSLA,8/21/2019,0
TSLA,3/20/2020,0
TSLA,11/16/2020,0
TSLA,8/19/2019,0
TSLA,4/2/2020,0
TSLA,5/18/2020,0
TWTR,5/16/2019,0
TWTR,6/20/2019,0
TWTR,8/23/2019,0
TWTR,9/24/2019,0
TWTR,2/5/2020,0
TWTR,3/3/2020,0
TWTR,6/23/2020,0
TWTR,9/15/2020,0
TWTR,11/4/2020,0
TWTR,1/11/2021,0
TWTR,6/14/2019,0
TWTR,10/8/2019,0
TWTR,3/17/2020,0
TWTR,11/20/2020,0
TWTR,6/6/2019,0
TWTR,10/2/2019,0
TWTR,3/9/2020,0
TWTR,7/2/2020,0
TWTR,11/9/2020,0
TWTR,11/7/2019,0
TWTR,4/6/2020,0
TWTR,10/24/2019,0
TWTR,3/20/2020,0
TWTR,11/20/2019,0
V,2/5/2019,1
V,5/22/2019,1
V,8/26/2019,1
V,10/15/2019,1
V,2/13/2020,1
V,4/6/2020,1
V,7/10/2020,1
V,7/20/2020,1
V,8/6/2020,1
V,8/13/2020,1
V,10/8/2020,1
V,11/11/2020,1
V,12/16/2020,1
V,3/19/2019,1
V,9/4/2019,1
V,11/6/2019,1
V,5/4/2020,1
V,3/19/2019,1
V,8/16/2019,1
V,11/1/2019,1
V,5/1/2020,1
V,8/6/2020,1
V,8/12/2020,1
V,10/9/2020,1
V,5/30/2019,1
V,11/7/2019,1
V,5/27/2020,1
V,5/13/2019,0
V,8/6/2019,0
V,9/17/2019,0
V,2/12/2020,0
V,2/27/2020,0
V,6/19/2020,0
V,7/17/2020,0
V,8/5/2020,0
V,8/7/2020,0
V,9/15/2020,0
V,10/22/2020,0
V,12/15/2020,0
V,12/18/2020,0
V,8/28/2019,0
V,9/20/2019,0
V,3/9/2020,0
V,10/5/2020,0
V,8/14/2019,0
V,9/18/2019,0
V,3/2/2020,0
V,8/5/2020,0
V,8/11/2020,0
V,9/25/2020,0
V,10/16/2020,0
V,10/10/2019,0
V,3/16/2020,0
V,10/30/2020,0
MA,2/5/2019,1
MA,8/20/2019,1
MA,10/15/2019,1
MA,11/4/2019,1
MA,4/6/2020,1
MA,7/20/2020,1
MA,10/5/2020,1
MA,11/13/2020,1
MA,3/19/2019,1
MA,11/15/2019,1
MA,5/5/2020,1
MA,3/19/2019,1
MA,8/16/2019,1
MA,11/7/2019,1
MA,5/1/2020,1
MA,5/30/2019,1
MA,12/4/2019,1
MA,6/23/2020,1
MA,5/30/2019,1
MA,11/20/2019,1
MA,6/2/2020,1
MA,8/5/2019,0
MA,9/17/2019,0
MA,10/25/2019,0
MA,2/27/2020,0
MA,6/19/2020,0
MA,9/14/2020,0
MA,10/22/2020,0
MA,12/15/2020,0
MA,10/3/2019,0
MA,3/10/2020,0
MA,10/16/2020,0
MA,8/14/2019,0
MA,9/19/2019,0
MA,3/2/2020,0
MA,10/22/2020,0
MA,11/13/2019,0
MA,4/1/2020,0
MA,12/9/2020,0
MA,10/23/2019,0
MA,3/16/2020,0
MA,11/6/2020,0
