Stock,Date,Buy/Sell,JSON File Name,Sentiment Score
Silver,3022020,0,Silver03022020,
Silver,4212020,0,Silver04212020,
Silver,9232020,0,Silver09232020,
Silver,11212019,0,Silver11212019,
Silver,3182020,0,Silver03182020,
Silver,11162020,0,Silver11162020,
Silver,11172019,0,Silver11172019,
Silver,3132020,0,Silver03132020,
Silver,11092020,0,Silver11092020,
Silver,3172020,0,Silver03172020,
TNX,3132019,0,TNX03132019,
TNX,5032019,0,TNX05032019,
TNX,7302019,0,TNX07302019,
TNX,10022019,0,TNX10022019,
TNX,11222019,0,TNX11222019,
TNX,1082020,0,TNX01082020,
TNX,3312020,0,TNX03312020,
TNX,6192020,0,TNX06192020,
TNX,9112020,0,TNX09112020,
TNX,9222020,0,TNX09222020,
TNX,11302020,0,TNX11302020,
TNX,9302019,0,TNX09302019,
TNX,1152020,0,TNX01152020,
TNX,6292020,0,TNX06292020,
TNX,1242020,0,TNX01242020,
TNX,7092020,0,TNX07092020,
TNX,1312020,0,TNX01312020,
TNX,2202020,0,TNX02202020,
TSLA,2222019,0,TSLA02222019,
TSLA,4152019,0,TSLA04152019,-0.4276
TSLA,8012019,0,TSLA08012019,-0.4696
TSLA,10032019,0,TSLA10032019,0.966
TSLA,12032019,0,TSLA12032019,0.975
TSLA,3032020,0,TSLA03032020,0.9599
TSLA,8042020,0,TSLA08042020,0.1779
TSLA,9142020,0,TSLA09142020,0.6956
TSLA,10272020,0,TSLA10272020,0.9686
TSLA,8152019,0,TSLA08152019,-0.4939
TSLA,3132020,0,TSLA03132020,-0.926
TSLA,10292020,0,TSLA10292020,0.9893
TSLA,11162020,0,TSLA11162020,0.9948
TSLA,8212019,0,TSLA08212019,-0.9893
TSLA,3202020,0,TSLA03202020,-0.8357
TSLA,11162020,0,TSLA11162020,0.9948
TSLA,8192019,0,TSLA08192019,-0.0258
TSLA,4022020,0,TSLA04022020,0.5574
TSLA,5182020,0,TSLA05182020,0.9843
TWTR,5162019,0,TWTR05162019,0.2023
TWTR,6202019,0,TWTR06202019,
TWTR,8232019,0,TWTR08232019,
TWTR,9242019,0,TWTR09242019,0.2023
TWTR,2052020,0,TWTR02052020,0.9489
TWTR,3032020,0,TWTR03032020,0.9628
